id,depth,cited_opinion_id,citing_opinion_id
312650716,1,9580997,11297294
312650717,1,1400773,11297294
312650718,1,1247980,11297294
312650719,1,1340534,11297294
312649023,1,4681170,11297107
312649024,1,11147685,11297107
312649025,1,11147174,11297107
312649026,1,4551447,11297107
312649027,1,4665919,11297107
312649028,1,6495691,11297107
312649029,2,4108873,11297107
312649030,2,9802171,11297107
312649031,1,11148775,11297107
312649032,1,11147276,11297107
312649033,2,6114274,11297107
312649034,1,4665918,11297107
312649035,1,11147662,11297107
312649036,1,9801362,11297107
312649037,2,11147140,11297107
312649038,1,9879544,11297107
312649039,1,4548074,11297107
312649040,1,7089206,11297107
312649041,1,9870910,11297107
312649042,1,9391790,11297107
312649043,1,11147229,11297107
312649085,1,6323378,11297114
312649086,1,9418994,11297114
312649087,1,9498186,11297114
312649088,1,9506386,11297114
312649089,1,1042144,11297114
312649090,5,4275521,11297114
312649091,1,4342332,11297114
312649092,1,4415234,11297114
312649093,1,4166841,11297114
312649959,2,11296710,11297213
312649984,2,4749576,11297219
312649985,2,6943120,11297219
312649986,2,9539166,11297219
312649044,1,146733,11297110
312649963,2,4967827,11297215
312649964,2,4967556,11297215
312649051,1,4035677,11297111
312649094,2,9803164,11297116
312649095,1,215717,11297116
312649096,1,9418994,11297116
312649097,6,107194,11297116
312649136,1,9435077,11297120
312649251,1,6463191,11297143
312649252,2,2090843,11297143
312649253,2,4150354,11297143
312649296,1,2160002,11297144
312649297,1,6356050,11297144
312649298,1,2558869,11297144
312649299,1,4156683,11297144
312649300,1,2368067,11297144
312649301,1,7303736,11297144
312649139,1,2778134,11297121
312649140,1,1039433,11297121
312649141,1,7863304,11297121
312649142,1,393156,11297121
312649143,1,9488339,11297121
312649144,2,186713,11297121
312649145,1,1466893,11297121
312649146,1,720526,11297121
312649147,1,9489646,11297121
312649148,1,9427264,11297121
312649149,1,9465296,11297121
312649150,1,7840590,11297121
312649151,1,868524,11297121
312649152,1,381797,11297121
312649153,1,7863003,11297121
312649154,1,184071,11297121
312649155,1,186834,11297121
312649156,1,187372,11297121
312649157,1,2662142,11297121
312649158,1,2430465,11297121
312649159,3,118462,11297121
312649160,1,532508,11297121
312649161,1,389460,11297121
312649162,1,9464311,11297121
312649163,1,187269,11297121
312649164,1,592176,11297121
312649165,1,556585,11297121
312649166,1,4123781,11297121
312649167,1,491446,11297121
312649168,3,375896,11297121
312649169,1,629099,11297121
312649170,2,187123,11297121
312649171,4,2659078,11297121
312649509,2,9422583,11297162
312649512,3,105912,11297162
312649514,2,2119192,11297162
312649515,6,8204040,11297162
312649517,2,9433839,11297162
312649518,1,10805611,11297162
312649519,1,9429592,11297162
312649591,3,9852833,11297164
312649186,1,9419809,11297137
312649187,1,9497515,11297137
312649188,1,820629,11297137
312649189,1,811219,11297137
312649190,4,8414248,11297137
312649191,1,560354,11297137
312649192,3,9781029,11297137
312649193,1,9504982,11297137
312649194,2,2784484,11297137
312649195,2,794887,11297137
312649196,1,4290010,11297137
312649197,3,9715278,11297137
312649198,1,2726070,11297137
312649254,1,6463191,11297142
312649255,1,3174137,11297142
312649256,1,2099235,11297142
312649257,1,7087926,11297142
312649258,2,6453757,11297142
312649259,1,9721253,11297142
312649260,2,4018563,11297142
312649261,1,6460541,11297142
312649262,2,4247167,11297142
312649263,1,2218832,11297142
312649199,1,9485554,11297138
312649200,1,2047033,11297138
312649201,1,4024285,11297138
312649202,1,6452998,11297138
312649203,1,6454641,11297138
312649204,4,4263677,11297138
312649205,3,9429592,11297138
312649206,2,2088278,11297138
312649207,1,2238311,11297138
312649208,2,2090498,11297138
312649209,2,2099145,11297138
312649210,1,2810839,11297138
312649211,1,2240075,11297138
312649212,3,4307528,11297138
312649213,1,6454598,11297138
312649214,1,2819685,11297138
312649215,1,4394418,11297138
312649216,1,2757953,11297138
312649217,1,2234838,11297138
312649218,2,6452979,11297138
312649219,1,6454937,11297138
312649220,1,9806520,11297138
312649221,1,2066298,11297138
312649445,1,9719685,11297151
312649446,1,9719737,11297151
312649447,1,9648081,11297151
312649448,1,4964612,11297151
312649449,2,4969499,11297151
312649450,2,9737237,11297151
312649222,1,6463191,11297139
312649223,1,10738481,11297139
312649224,1,6452607,11297139
312649225,2,6464588,11297139
312649226,1,7088575,11297139
312649227,1,10738597,11297139
312649228,1,2900110,11297139
312649229,1,6451588,11297139
312649240,1,6463191,11297141
312649241,3,2761804,11297141
312649242,1,2720162,11297141
312649243,1,2046751,11297141
312649244,1,2761805,11297141
312649245,2,6451737,11297141
312649246,3,6450782,11297141
312649247,1,6453453,11297141
312649248,1,6451029,11297141
312649249,1,4115341,11297141
312649250,1,2020860,11297141
312649264,1,4318084,11297142
312649265,2,6451425,11297142
312649266,2,2218633,11297142
312649267,1,7085090,11297142
312649268,1,4098249,11297142
312649269,1,2827404,11297142
312649270,2,6450571,11297142
312649271,1,6452731,11297142
312649343,1,3176687,11297149
312649344,4,2381317,11297149
312649345,1,4027437,11297149
312649346,1,9877296,11297149
312649347,1,2651667,11297149
312649348,1,7324059,11297149
312649349,1,1987805,11297149
312649289,1,9727581,11297145
312649290,1,9755097,11297145
312649291,1,1543268,11297145
312649292,1,1435393,11297145
312649293,1,7322442,11297145
312649294,1,7321911,11297145
312649295,1,1930153,11297145
312649708,2,792702,11297178
312649709,4,8410746,11297178
312649302,1,7323703,11297144
312649303,1,2539781,11297144
312649304,2,4107077,11297144
312649305,2,9711357,11297144
312649306,1,9698737,11297144
312649307,4,2110197,11297144
312649308,2,7321013,11297144
312649309,1,9413187,11297144
312649310,2,2164533,11297144
312649311,2,2793412,11297144
312649312,1,1550709,11297144
312649313,1,2167359,11297144
312649314,3,1487928,11297144
312649315,1,2342501,11297144
312649316,1,2356063,11297144
312649317,1,1904269,11297144
312649318,1,2202326,11297144
312649319,1,2657191,11297144
312649320,1,7323728,11297144
312649321,1,7323796,11297144
312650057,1,1232020,11297226
312650058,1,776706,11297226
312650059,1,9490766,11297226
312649350,1,7323880,11297149
312649351,1,1436553,11297149
312649352,1,6357544,11297149
312649353,1,9430607,11297149
312649354,1,3218126,11297149
312649355,1,1942687,11297149
312649356,1,2070139,11297149
312649357,1,1563101,11297149
312649358,1,9646807,11297149
312649359,1,9699626,11297149
312649360,1,2202166,11297149
312649361,2,7230947,11297149
312649362,1,9532805,11297149
312649363,1,2379336,11297149
312649364,1,1770052,11297149
312649365,1,1941890,11297149
312649366,2,9430599,11297149
312649367,2,1465907,11297149
312649368,1,2320616,11297149
312649369,1,1952258,11297149
312649370,1,2341653,11297149
312649371,1,7303793,11297149
312649372,3,9875755,11297149
312649373,1,1897267,11297149
312649374,1,2423272,11297149
312649375,1,9760634,11297149
312649376,1,4192279,11297149
312649377,1,2656167,11297149
312649378,2,1963344,11297149
312649379,1,6971238,11297149
312649380,2,7321763,11297149
312649381,2,2089644,11297149
312649382,2,1524357,11297149
312649383,3,1550654,11297149
312649384,1,2375746,11297149
312649385,1,1527279,11297149
312649386,3,2113709,11297149
312649387,1,2323706,11297149
312649388,1,1939153,11297149
312649389,1,2353699,11297149
312649390,1,1966558,11297149
312649391,1,9636683,11297149
312649392,1,1528431,11297149
312649393,1,2381414,11297149
312649394,1,2766193,11297150
312649174,1,9782473,11297137
312649175,1,4245002,11297137
312649176,2,111052,11297137
312649177,1,2026384,11297137
312649178,2,2059562,11297137
312649179,2,9743390,11297137
312649180,1,852015,11297137
312649181,2,2242002,11297137
312649182,1,4531854,11297137
312649183,3,2030006,11297137
312649184,1,9428409,11297137
312649185,1,9419941,11297137
312648938,1,11070924,11297098
312648939,1,11112731,11297098
312648940,2,4655849,11297098
